Termo;Descrição Padrão
"6""";"6"""
"1.1/4""";"1.1/4"""
"11/4""";"1.1/4"""
"1 1/4""";"1.1/4"""
"3/4""";"3/4"""
"4""";"4"""
"3""";"3"""
"2.1/2""";"2.1/2"""
"21/2""";"2.1/2"""
"2 1/2""";"2.1/2"""
"1.1/2""";"1.1/2"""
"11/2""";"1.1/2"""
"1 1/2""";"1.1/2"""
"1/2""";"1/2"""
"2""";"2"""
"1""";"1"""
"1/4""";"1/4"""
"6 """;"6"""
"1.1/4 """;"1.1/4"""
"11/4 """;"1.1/4"""
"1 1/4 """;"1.1/4"""
"3/4 """;"3/4"""
"4 """;"4"""
"3 """;"3"""
"2.1/2 """;"2.1/2"""
"21/2 """;"2.1/2"""
"2 1/2 """;"2.1/2"""
"1.1/2 """;"1.1/2"""
"11/2 """;"1.1/2"""
"1 1/2 """;"1.1/2"""
"1/2 """;"1/2"""
"2 """;"2"""
"1 """;"1"""
"1/4""";"1/4"""
"dn 6""";"6"""
"dn 1.1/4""";"1.1/4"""
"dn 1 1/4""";"1.1/4"""
"dn 11/4""";"1.1/4"""
"dn 3/4""";"3/4"""
"dn 4""";"4"""
"dn 3""";"3"""
"dn 2.1/2""";"2.1/2"""
"dn 2 1/2""";"2.1/2"""
"dn 21/2""";"2.1/2"""
"dn 1.1/2""";"1.1/2"""
"dn 1 1/2""";"1.1/2"""
"dn 11/2""";"1.1/2"""
"dn 1/2""";"1/2"""
"dn 2""";"2"""
"dn 1""";"1"""
"dn 1/4""";"1/4"""
dn150;"6"""
dn100;"4"""
dn80;"3"""
dn65;"2.1/2"""
dn50;"2"""
dn40;"1.1/2"""
dn32;"1.1/4"""
dn25;"1"""
dn20;"3/4"""
dn15;"1/2"""
dn10;"1/2"""
dn 150;"6"""
dn 100;"4"""
dn 80;"3"""
dn 65;"2.1/2"""
dn 50;"2"""
dn 40;"1.1/2"""
dn 32;"1.1/4"""
dn 25;"1"""
dn 20;"3/4"""
dn 15;"1/2"""
dn 10;"1/2"""
 6x;"6"""
 1.1/4x;"1.1/4"""
 11/4x;"1.1/4"""
