Termo;Descrição Padrão
Leve;Leve
Pesado;Pesado
Semi Pesado;Semi Pesado
Semi-Pesado;Semi Pesado
Eletrocalha;Leve
Perfilado;Leve
Leito;Pesado
1C;1C
2C;2C
3C;3C
4C;4C
5C;5C
7C;7C
9C;9C
10C;10C
12C;12C
15C;15C
19C;19C
24C;24C
2x;2C
3x;3C
4x;4C
5x;5C
7x;7C
9x;9C
10x;10C
12x;12C
15x;15C
19x;19C
24x;24C
2 x;2C
3 x;3C
4 x;4C
5 x;5C
7 x;7C
9 x;9C
10 x;10C
12 x;12C
15 x;15C
19 x;19C
24 x;24C
1 par;1 Par
2 par;2 Par
3 par;3 Par
4 par;4 Par
5 par;5 Par
6 par;6 Par
7 par;7 Par
8 par;8 Par
9 par;9 Par
10 par;10 Par
12 par;12 Par
14 par;14 Par
16 par;16 Par
18 par;18 Par
20 par;20 Par
22 par;22 Par
24 par;24 Par
2 pares;2 Par
3 pares;3 Par
4 pares;4 Par
5 pares;5 Par
6 pares;6 Par
7 pares;7 Par
8 pares;8 Par
9 pares;9 Par
10 pares;10 Par
12 pares;12 Par
14 pares;14 Par
16 pares;16 Par
18 pares;18 Par
20 pares;20 Par
22 pares;22 Par
24 pares;24 Par
1p;1 Par
2p;2 Par
3p;3 Par
4p;4 Par
5p;5 Par
6p;6 Par
7p;7 Par
8p;8 Par
9p;9 Par
10p;10 Par
12p;12 Par
14p;14 Par
16p;16 Par
18p;18 Par
20p;20 Par
22p;22 Par
24p;24 Par
1 trio;1 Trio
2 trio;2 Trio
3 trio;3 Trio
4 trio;4 Trio
5 trio;5 Trio
6 trio;6 Trio
7 trio;7 Trio
8 trio;8 Trio
9 trio;9 Trio
10 trio;10 Trio
2 trios;2 Trio
3 trios;3 Trio
4 trios;4 Trio
5 trios;5 Trio
6 trios;6 Trio
7 trios;7 Trio
8 trios;8 Trio
9 trios;9 Trio
10 trios;10 Trio
1 t;1 Trio
2 t;2 Trio
3 t;3 Trio
4 t;4 Trio
5 t;5 Trio
6 t;6 Trio
7 t;7 Trio
8 t;8 Trio
9 t;9 Trio
10 t;10 Trio
1t;1 Trio
2t;2 Trio
3t;3 Trio
4t;4 Trio
5t;5 Trio
6t;6 Trio
7t;7 Trio
8t;8 Trio
9t;9 Trio
10t;10 Trio
Sch 40s;Sch 40s
Sch40s;Sch 40s
Schedule 40s;Sch 40s
Sch. 40s;Sch 40s
Sch.40s;Sch 40s
Schedule 40;Sch 40
Sch 40;Sch 40
Sch40;Sch 40
Sch. 40;Sch 40
Sch.40;Sch 40
Alumínio;Sch 40
Aço Inox;Sch 40s
Tempo;Tempo
Explosão;Explosão
Explosivo;Explosão
Explosiva;Explosão
TGVP;Tempo
T.G.V.P;Tempo
Gases;Tempo
Condulete;Tempo
Caixa de Ligação;Tempo
caixa e Ligação;tempo
Prensa Cabo;Tempo
Flexível;Tempo
1G;1C
2G;2C
3G;3C
4G;4C
5G;5C
7G;7C
9G;9C
10G;10C
12G;12C
15G;15C
19G;19C
24G;24C
Singelo;1C
Tripolar;3C
Tetrapolar;4C
Pentapolar;5C
Condutores: 1;1C
Condutores: 2;2C
Condutores: 3;3C
Condutores: 4;4C
Condutores: 5;5C
Condutores: 7;7C
Condutores: 9;9C
Condutores: 12;12C
Condutores: 15;15C
Condutores: 19;19C
Condutores: 24;24C
2 Condutores;2C
3 Condutores;3C
4 Condutores;4C
5 Condutores;5C
7 Condutores;7C
9 Condutores;9C
10 Condutores;10C
12 Condutores;12C
15 Condutores;15C
19 Condutores;19C
24 Condutores;24C
Aterramento;1C
1/C;1C
2/C;2C
3/C;3C
4/C;4C
5/C;5C
7/C;7C
9/C;9C
10/C;10C
12/C;12C
15/C;15C
19/C;19C
24/C;24C
1/ C;1C
2/ C;2C
3/ C;3C
4/ C;4C
5/ C;5C
7/ C;7C
9/ C;9C
10/ C;10C
12/ C;12C
15/ C;15C
19/ C;19C
24/ C;24C
1 / C;1C
2 / C;2C
3 / C;3C
4 / C;4C
5 / C;5C
7 / C;7C
9 / C;9C
10 / C;10C
12 / C;12C
15 / C;15C
19 / C;19C
24 / C;24C
2 Vias;2C
3 Vias;3C
4 Vias;4C
5 Vias;5C
7 Vias;7C
9 Vias;9C
10 Vias;10C
12 Vias;12C
15 Vias;15C
19 Vias;19C
24 Vias;24C
Cobre Nú;1C
Saída Horizontal;Horizontal
Saída Vertical;Vertical
Saída Lateral;Horizontal
Saída Superior;Vertical
Horizontal;Horizontal
Vertical;Vertical
1:00 PM;1 Par
2:00 PM;2 Par
3:00 PM;3 Par
4:00 PM;4 Par
5:00 PM;5 Par
6:00 PM;6 Par
7:00 PM;7 Par
9:00 PM;9 Par
10:00 PM;10 Par
11:00 PM;11 Par
12:00 PM;12 Par
14 p ;14 Par
16 p ;16 Par
18 p ;18 Par
20 p ;20 Par
22 p ;22 Par
24 p ;24 Par
1 t;1 Trio
2 t;2 Trio
3 t;3 Trio
4 t;4 Trio
5 t;5 Trio
6 t;6 Trio
7 t;7 Trio
8 t;8 Trio
9 t;9 Trio
Unipolar;1C
1 Veia;1C
2 Veia;2C
3 Veia;3C
4 Veia;4C
5 Veia;5C
7 Veia;7C
9 Veia;9C
10 Veia;10C
12 Veia;12C
15 Veia;15C
19 Veia;19C
24 Veia;24C
A2f;Explosão
 Ex ;Explosão
 EX-;Explosão
 exd ;Explosão
Prensa-Cabo;Tempo
Cobre Nu;1C
1x1.5 mm²;1C
1x2.5 mm²;1C
1x4 mm²;1C
1x6 mm²;1C
1x10 mm²;1C
1x16 mm²;1C
1x25 mm²;1C
1x35 mm²;1C
1x50 mm²;1C
1x70 mm²;1C
1x95 mm²;1C
1x120 mm²;1C
1x150 mm²;1C
1x185 mm²;1C
1x240 mm²;1C
1x300 mm²;1C
1x400 mm²;1C
1x500 mm²;1C
1x1,5 mm²;1C
1x2,5 mm²;1C
1x4 mm2;1C
1x6 mm2;1C
1x10 mm2;1C
1x16 mm2;1C
1x25 mm2;1C
1x35 mm2;1C
1x50 mm2;1C
1x70 mm2;1C
1x95 mm2;1C
1x120 mm2;1C
1x150 mm2;1C
1x185 mm2;1C
1x240 mm2;1C
1x300 mm2;1C
1x400 mm2;1C
1x500 mm2;1C
1x1.5mm²;1C
1x2.5mm²;1C
1x4mm²;1C
1x6mm²;1C
1x10mm²;1C
1x16mm²;1C
1x25mm²;1C
1x35mm²;1C
1x50mm²;1C
1x70mm²;1C
1x95mm²;1C
1x120mm²;1C
1x150mm²;1C
1x185mm²;1C
1x240mm²;1C
1x300mm²;1C
1x400mm²;1C
1x500mm²;1C
1x1,5mm²;1C
1x2,5mm²;1C
1x1.5mm²;1C
1x2.5mm2;1C
1x4mm2;1C
1x6mm2;1C
1x10mm2;1C
1x16mm2;1C
1x25mm2;1C
1x35mm2;1C
1x50mm2;1C
1x70mm2;1C
1x95mm2;1C
1x120mm2;1C
1x150mm2;1C
1x185mm2;1C
1x240mm2;1C
1x300mm2;1C
1x400mm2;1C
1x500mm2;1C
1x 1.5 mm²;1C
1x 2.5 mm²;1C
1x 4 mm²;1C
1x 6 mm²;1C
1x 10 mm²;1C
1x 16 mm²;1C
1x 25 mm²;1C
1x 35 mm²;1C
