Termo;Descricão Padrão
"36""";"36"""
"34""";"34"""
"32""";"32"""
"30""";"30"""
"28""";"28"""
"26""";"26"""
"24""";"24"""
"22""";"22"""
"20""";"20"""
"18""";"18"""
"16""";"16"""
"14""";"14"""
"12""";"12"""
"10""";"10"""
"8""";"8"""
"6""";"6"""
"5""";"5"""
"1.1/4""";"1.1/4"""
"11/4""";"1.1/4"""
"1 1/4""";"1.1/4"""
"3/4""";"3/4"""
"4""";"4"""
"3""";"3"""
"2.1/2""";"2.1/2"""
"21/2""";"2.1/2"""
"2 1/2""";"2.1/2"""
"1.1/2""";"1.1/2"""
"11/2""";"1.1/2"""
"1 1/2""";"1.1/2"""
"1/2""";"1/2"""
"2""";"2"""
"1""";"1"""
"1/4""";"1/2"""
"36 """;"36"""
"34 """;"34"""
"32 """;"32"""
"30 """;"30"""
"28 """;"28"""
"26 """;"26"""
"24 """;"24"""
"22 """;"22"""
"20 """;"20"""
"18 """;"18"""
"16 """;"16"""
"14 """;"14"""
"12 """;"12"""
"10 """;"10"""
"8 """;"8"""
"6 """;"6"""
"5 """;"5"""
"1.1/4 """;"1.1/4"""
"11/4 """;"1.1/4"""
"1 1/4 """;"1.1/4"""
"3/4 """;"3/4"""
"4 """;"4"""
"3 """;"3"""
"2.1/2 """;"2.1/2"""
"21/2 """;"2.1/2"""
"2 1/2 """;"2.1/2"""
"1.1/2 """;"1.1/2"""
"11/2 """;"1.1/2"""
"1 1/2 """;"1.1/2"""
"1/2 """;"1/2"""
"2 """;"2"""
"1 """;"1"""
"1/4""";"1/2"""
"dn 36""";"36"""
"dn 34""";"34"""
"dn 32""";"32"""
"dn 30""";"30"""
"dn 28""";"28"""
"dn 26""";"26"""
"dn 24""";"24"""
"dn 22""";"22"""
"dn 20""";"20"""
"dn 18""";"18"""
"dn 16""";"16"""
"dn 14""";"14"""
"dn 12""";"12"""
"dn 10""";"10"""
"dn 8""";"8"""
"dn 6""";"6"""
"dn 5""";"5"""
"dn 1.1/4""";"1.1/4"""
"dn 1 1/4""";"1.1/4"""
"dn 11/4""";"1.1/4"""
"dn 3/4""";"3/4"""
"dn 4""";"4"""
