Termo;Descricão Padrão
Biselada;Soldada
Bizelada;Soldada
Rosc;Roscada
Rosq;Roscada
Chanfrada;Soldada
Plana;Soldada
Lisa;Soldada
NPT;Roscada
BSP;Roscada
CHANF;Soldada
PL;Soldada
PC;Soldada
Bisel;Soldada
Soldável;Soldada
Cego;Parafusada
Encaixe Solda;Encaixe Solda
Encaixe p/ solda;Encaixe Solda
Encaixede Solda;Encaixe Solda
Encaixe para solda;Encaixe Solda
Encaixe e Solda;Encaixe Solda
Soquete;Encaixe Solda
Socket;Encaixe Solda
BW;Soldada
B.W;Soldada
SW;Encaixe Solda
S.W;Encaixe Solda
Solda;Soldada
 RO ;Roscada
Flanges;Flangeada
Flangeada;Flangeada
Flanfeado;Flangeada
Flange;Flangeada
FLG;Flangeada
Wafer;Wafer
Lug;Lug
Cego;Parafusada
FR;Flangeada
FP;Flangeada
ES;Encaixe Solda
Branco;Roscada
Marrom;Soldada
Bege;Soldada
Bolsa;Soldada
Rígido;Roscada
Rigido;Roscada
PVC;Soldada
CPVC;Soldada
Engate Rápido;Roscada
Adaptador;Roscada
Regulador;Roscada
Coalescente;Roscada
Bag;Flangeada
Cesto;Flangeada
Filtro Y;Flangeada
Filtro tipo Y;Flangeada
"""Y""";Flangeada
"Filtro tipo""Y""";Flangeada
Duplo Cesto;Flangeada
Cesto Duplo;Flangeada
Figura 8;Flangeada
Sprinkler;Roscada
Bimetálico;Roscada
Balde;Roscada
Bóia;Roscada
Termostático;Roscada
PEAD;Soldada
PE 80;Soldada
PE 100;Soldada
