Termo;Descricão Padrão
Sch 5s;Sch 5s
Sch 10s;Sch 10s
Sch 20s;Sch 20s
Sch 40s;Sch 40s
Sch 80s;Sch 80s
Sch 160s;Sch 160s
Sch XXS;Sch XXS
Sch5s;Sch 5s
Sch10s;Sch 10s
Sch20s;Sch 20s
Sch40s;Sch 40s
Sch80s;Sch 80s
Sch160s;Sch 160s
SchXXS;Sch XXS
Schedule 5s;Sch 5s
Schedule 10s;Sch 10s
Schedule 20s;Sch 20s
Schedule 40s;Sch 40s
Schedule 80s;Sch 80s
Schedule 160s;Sch 160s
Schedule XXS;Sch XXS
Sch. 5s;Sch 5s
Sch. 10s;Sch 10s
Sch. 20s;Sch 20s
Sch. 40s;Sch 40s
Sch. 80s;Sch 80s
Sch. 160s;Sch 160s
Sch. XXS;Sch XXS
Sch.5s;Sch 5s
Sch.10s;Sch 10s
Sch.20s;Sch 20s
Sch.40s;Sch 40s
Sch.80s;Sch 80s
Sch.160s;Sch 160s
Sch.XXS;Sch XXS
Schedule 10;Sch 10
Schedule 20;Sch 20
Schedule 30;Sch 30
Schedule 40;Sch 40
Schedule 60;Sch 60
Schedule 80;Sch 80
Schedule 100;Sch 100
Schedule 120;Sch 120
Schedule 140;Sch 140
Schedule 160;Sch 160
Sch 10;Sch 10
Sch 20;Sch 20
Sch 30;Sch 30
Sch 40;Sch 40
Sch 60;Sch 60
Sch 80;Sch 80
Sch 100;Sch 100
Sch 120;Sch 120
Sch 140;Sch 140
Sch 160;Sch 160
Sch XS;Sch XS
Sch XXS;Sch XXS
Sch10;Sch 10
Sch20;Sch 20
Sch30;Sch 30
Sch40;Sch 40
Sch60;Sch 60
Sch80;Sch 80
Sch100;Sch 100
Sch120;Sch 120
Sch140;Sch 140
Sch160;Sch 160
SchXS;Sch XS
SchXXS;Sch XXS
Sch. 10;Sch 10
Sch. 20;Sch 20
Sch. 30;Sch 30
Sch. 40;Sch 40
Sch. 60;Sch 60
Sch. 80;Sch 80
Sch. 100;Sch 100
Sch. 120;Sch 120
Sch. 140;Sch 140
Sch. 160;Sch 160
Sch. XS;Sch XS
Sch. XXS;Sch XXS
Sch.10;Sch 10
Sch.20;Sch 20
Sch.30;Sch 30
Sch.40;Sch 40
Sch.60;Sch 60
Sch.80;Sch 80
Sch.100;Sch 100
Sch.120;Sch 120
Sch.140;Sch 140
Sch.160;Sch 160
Sch.XS;Sch XS
Sch.XXS;Sch XXS
STD;Sch STD
XS;Sch XS
classe de pressão 9000;9000 lbs
classe de pressão6000;6000 lbs
classe de pressão3000;3000 lbs
classe de pressão2000;2000 lbs
classe de pressão900;900 lbs
classe de pressão600;600 lbs
classe de pressão300;300 lbs
classe de pressão150;150 lbs
classe 9000;9000 lbs
classe 6000;6000 lbs
classe 3000;3000 lbs
classe 2000;2000 lbs
classe 900;900 lbs
classe 600;600 lbs
classe 300;300 lbs
classe 150;150 lbs
classe 800;800 lbs
cl 9000;9000 lbs
cl 6000;6000 lbs
cl 3000;3000 lbs
cl 2000;2000 lbs
cl 900;900 lbs
cl 600;600 lbs
cl 300;300 lbs
cl 150;150 lbs
cl 800;800 lbs
9000 psi;9000 lbs
6000 psi;6000 lbs
3000 psi;3000 lbs
2000 psi;2000 lbs
900 psi;900 lbs
600 psi;600 lbs
300 psi;300 lbs
150 psi;150 lbs
800 psi;800 lbs
9000psi;9000 lbs
6000psi;6000 lbs
3000psi;3000 lbs
2000psi;2000 lbs
900psi;900 lbs
600psi;600 lbs
300psi;300 lbs
150psi;150 lbs
800psi;800 lbs
9000 lbs;9000 lbs
6000 lbs;6000 lbs
3000 lbs;3000 lbs
2000 lbs;2000 lbs
900 lbs;900 lbs
600 lbs;600 lbs
300 lbs;300 lbs
150 lbs;150 lbs
800 lbs;800 lbs
9000lbs;9000 lbs
6000lbs;6000 lbs
3000lbs;3000 lbs
2000lbs;2000 lbs
900lbs;900 lbs
600lbs;600 lbs
300lbs;300 lbs
150lbs;150 lbs
800lbs;800 lbs
9000 lb;9000 lbs
6000 lb;6000 lbs
3000 lb;3000 lbs
2000 lb;2000 lbs
900 lb;900 lbs
600 lb;600 lbs
300 lb;300 lbs
150 lb;150 lbs
800 lb;800 lbs
9000lb;9000 lbs
6000lb;6000 lbs
3000lb;3000 lbs
2000lb;2000 lbs
900lb;900 lbs
600lb;600 lbs
300lb;300 lbs
150lb;150 lbs
800lb;800 lbs
9000#;9000 lbs
6000#;6000 lbs
3000#;3000 lbs
2000#;2000 lbs
900#;900 lbs
600#;600 lbs
300#;300 lbs
150#;150 lbs
800#;800 lbs
9000 #;9000 lbs
6000 #;6000 lbs
3000 #;3000 lbs
2000 #;2000 lbs
900 #;900 lbs
600 #;600 lbs
300 #;300 lbs
150 #;150 lbs
800 #;800 lbs
# 9000;9000 lbs
# 6000;6000 lbs
# 3000;3000 lbs
# 2000;2000 lbs
# 900;900 lbs
# 600;600 lbs
# 300;300 lbs
# 150;150 lbs
# 800;800 lbs
#9000;9000 lbs
#6000;6000 lbs
#3000;3000 lbs
#2000;2000 lbs
#900;900 lbs
#600;600 lbs
#300;300 lbs
#150;150 lbs
#800;800 lbs
classe alta;300 lbs
classe média;150 lbs
classe m;Sch 40
"0.125""";"0,125"""
"0.156""";"0,156"""
"0.188""";"0,188"""
"0.203""";"0,203"""
"0.210""";"0,210"""
"0.219""";"0,219"""
"0.250""";"0,250"""
"0.279""";"0,279"""
"0.281""";"0,281"""
"0.312""";"0,312"""
"0.344""";"0,344"""
"0.375""";"0,375"""
"0.406""";"0,406"""
"0.438""";"0,438"""
"0.469""";"0,469"""
"0.562""";"0,562"""
"0.625""";"0,625"""
"2.125""";"2,125"""
"2.2""";"2,2"""
"2.5""";"2,5"""
"0,125""";"0,125"""
"0,156""";"0,156"""
"0,188""";"0,188"""
"0,203""";"0,203"""
"0,210""";"0,210"""
"0,219""";"0,219"""
"0,250""";"0,250"""
"0,279""";"0,279"""
"0,281""";"0,281"""
"0,312""";"0,312"""
"0,344""";"0,344"""
"0,375""";"0,375"""
"0,406""";"0,406"""
"0,438""";"0,438"""
"0,469""";"0,469"""
"0,562""";"0,562"""
"0,625""";"0,625"""
"2,125""";"2,125"""
"2,2""";"2,2"""
"2,5""";"2,5"""
 XS ;Sch XS
197;150 lbs
105;3000 lbs
Aço carbono;Sch 40
Aço carbono;Sch 40
A106;Sch 40
A53;Sch 40
A234;Sch 40
"2""";"2"""
ASME 9000;9000 lbs
ASME 6000;6000 lbs
ASME 3000;3000 lbs
ASME 2000;2000 lbs
ASME 900;900 lbs
ASME 600;600 lbs
ASME 300;300 lbs
ASME 150;150 lbs
ASME 800;800 lbs
ASME9000;9000 lbs
ASME6000;6000 lbs
ASME3000;3000 lbs
ASME2000;2000 lbs
ASME900;900 lbs
ASME600;600 lbs
ASME300;300 lbs
ASME150;150 lbs
ASME800;800 lbs
ANSI 9000;9000 lbs
ANSI 6000;6000 lbs
ANSI 3000;3000 lbs
ANSI 2000;2000 lbs
ANSI 900;900 lbs
ANSI 600;600 lbs
ANSI 300;300 lbs
ANSI 150;150 lbs
ANSI 800;800 lbs
ANSI9000;9000 lbs
ANSI6000;6000 lbs
ANSI3000;3000 lbs
ANSI2000;2000 lbs
ANSI900;900 lbs
ANSI600;600 lbs
ANSI300;300 lbs
ANSI150;150 lbs
ANSI800;800 lbs
5s;Sch 5s
10s;Sch 10s
20s;Sch 20s
40s;Sch 40s
80s;Sch 80s
160s;Sch 160s
"0,250""";Sch 20
"0.250""";Sch 20
"0,250""";Sch 10
"0.250""";Sch 10
Figura 8;150 lbs
Sprinkler;150 lbs
Engate Rápido;150 lbs
Branco;Rígido (Rosca)
Marrom;PBS-15 (Cola)
Bege;PBS-15 (Cola)
Bolsa;PBS-15 (Cola)
Rígido;Rígido (Rosca)
Rigido;Rígido (Rosca)
PVC;Sch 80
CPVC;Sch 80
Junta de Expansão;150 lbs
Amortecedor;150 lbs
Purgador;150 lbs
Filtro Regulador;150 lbs
Filtro Coalescente;150 lbs
Bag;150 lbs
Cesto;150 lbs
Filtro Y;150 lbs
Filtro tipo Y;150 lbs
"""Y""";150 lbs
Engate Rápido;150 lbs
A403;Sch 40s
"0375""";"0,375"""
Schedule 80;300 lbs
Sch 80;300 lbs
Sch80;300 lbs
Sch. 80;300 lbs
Sch.80;300 lbs
Rosc;150 lbs
Rosq;150 lbs
NPT;150 lbs
BSP;150 lbs
 RO ;150 lbs
Tubo;Sch 40
classe de pressão125;150 lbs
classe 125;150 lbs
cl 125;150 lbs
125 psi;150 lbs
125psi;150 lbs
125 lbs;150 lbs
125lbs;150 lbs
125 lb;150 lbs
125lb;150 lbs
125#;150 lbs
125 #;150 lbs
# 125;150 lbs
#125;150 lbs
ASME 125;150 lbs
ASME125;150 lbs
ANSI 125;150 lbs
ANSI125;150 lbs
cl9000;9000 lbs
cl6000;6000 lbs
cl3000;3000 lbs
cl2000;2000 lbs
cl900;900 lbs
cl600;600 lbs
cl300;300 lbs
cl150;150 lbs
cl800;800 lbs
cl125;150 lbs
válvula;150 lbs
valvula;150 lbs
flange;150 lbs
36;Sch 40
234;Sch 40
"30""";Sch 20
"28""";Sch 20
"26""";Sch 20
"24""";Sch 20
"22""";Sch 20
"20""";Sch 20
"30 """;Sch 20
"28 """;Sch 20
"26 """;Sch 20
"24 """;Sch 20
"22 """;Sch 20
"20 """;Sch 20
"dn 30""";Sch 20
"dn 28""";Sch 20
"dn 26""";Sch 20
"dn 24""";Sch 20
"dn 22""";Sch 20
"dn 20""";Sch 20
dn700;Sch 20
dn600;Sch 20
dn500;Sch 20
dn 700;Sch 20
dn 600;Sch 20
dn 500;Sch 20
 30x;Sch 20
 28x;Sch 20
 26x;Sch 20
 24x;Sch 20
 22x;Sch 20
 20x;Sch 20
 30 x;Sch 20
 28 x;Sch 20
 26 x;Sch 20
 24 x;Sch 20
 22 x;Sch 20
 20 x;Sch 20
dn 700;Sch 20
dn 600;Sch 20
dn 500;Sch 20
700 mm;Sch 20
600 mm;Sch 20
500 mm;Sch 20
nps 30;Sch 20
nps 28;Sch 20
nps 26;Sch 20
nps 24;Sch 20
nps 22;Sch 20
nps 20;Sch 20
30 polegada;Sch 20
28 polegada;Sch 20
26 polegada;Sch 20
24 polegada;Sch 20
22poelgada;Sch 20
20poelgada;Sch 20
30 pol;Sch 20
28 pol;Sch 20
26 pol;Sch 20
24 pol;Sch 20
22poelgada;Sch 20
20poelgada;Sch 20
diam 30;Sch 20
diam 28;Sch 20
diam 26;Sch 20
diam 24;Sch 20
diam 22;Sch 20
diam 20;Sch 20
"diam 30""";Sch 20
"diam 28""";Sch 20
"diam 26""";Sch 20
"diam 24""";Sch 20
"diam 22""";Sch 20
"diam 20""";Sch 20
"diam30""";Sch 20
"diam28""";Sch 20
"diam26""";Sch 20
"diam24""";Sch 20
"diam22""";Sch 20
"diam20""";Sch 20
diam 700;Sch 20
diam 600;Sch 20
diam 500;Sch 20
diam700;Sch 20
diam600;Sch 20
diam500;Sch 20
"x30""";Sch 20
"x28""";Sch 20
"x26""";Sch 20
"x24""";Sch 20
"x22""";Sch 20
"x20""";Sch 20
"x 30""";Sch 20
"x 28""";Sch 20
"x 26""";Sch 20
"x 24""";Sch 20
"x 22""";Sch 20
"x 20""";Sch 20
x 30;Sch 20
x 28;Sch 20
x 26;Sch 20
x 24;Sch 20
x 22;Sch 20
x 20;Sch 20
182;3000 lbs
312;Sch 40s
403;Sch 40s
304;Sch 40s
316;Sch 40s
304;3000 lbs
316;3000 lbs
pestana;150 lbs
cl -9000;9000 lbs
cl -6000;6000 lbs
cl -3000;3000 lbs
cl -2000;2000 lbs
cl -900;900 lbs
cl -600;600 lbs
cl -300;300 lbs
cl -1500;1500 lbs
cl -800;800 lbs
"0438""";"0,438"""
sch-5s;Sch 5s
sch-10s;Sch 10s
sch-20s;Sch 20s
sch-40s;Sch 40s
sch-80s;Sch 80s
sch-160s;Sch 160s
sch-XXS;Sch XXS
sch-10;Sch 10
sch-20;Sch 20
sch-30;Sch 30
sch-40;Sch 40
sch-60;Sch 60
sch-80;Sch 80
sch-100;Sch 100
sch-120;Sch 120
sch-140;Sch 140
sch-160;Sch 160
sch-XS;Sch XS
sch-XXS;Sch XXS
sch-80;300 lbs
Biselada;Sch 40
Bizelada;Sch 40
Chanfrada;Sch 40
Plana;Sch 40
Lisa;Sch 40
CHANF;Sch 40
PL;Sch 40
PC;Sch 40
Bisel;Sch 40
Soldável;Sch 80
BW;Sch 40
B.W;Sch 40
Solda;Sch 40
Sch5;Sch 5s
"14""";Sch 30
"14 """;Sch 30
"dn 14""";Sch 30
dn350;Sch 30
dn 350;Sch 30
 14x;Sch 30
 14 x;Sch 30
dn 350;Sch 30
350 mm;Sch 30
nps 14;Sch 30
14 polegada;Sch 30
14 pol;Sch 30
diam 14;Sch 30
"diam 14""";Sch 30
"diam14""";Sch 30
diam 350;Sch 30
diam350;Sch 30
"x14""";Sch 30
"x 14""";Sch 30
x 14;Sch 30
403;3000 lbs
120;Sch 160
bronze;Sch 40
classe de pressão1500;1500 lbs
classe 1500;1500 lbs
cl 1500;1500 lbs
1500 psi;1500 lbs
1500psi;1500 lbs
1500 lbs;1500 lbs
1500lbs;1500 lbs
1500 lb;1500 lbs
1500lb;1500 lbs
1500#;1500 lbs
1500 #;1500 lbs
# 1500;1500 lbs
#1500;1500 lbs
ASME 1500;1500 lbs
ASME1500;1500 lbs
ANSI 1500;1500 lbs
ANSI1500;1500 lbs
valv;150 lbs
válv;150 lbs
Sch 5 s;Sch 5s
